Datetime,Status,Health,Level,Scale,Plugged,Voltage,Temperature
2017-10-10 23:57:51,Discharging,Good,93,100,None,4233,31.4
2017-10-10 23:30:29,Discharging,Good,93,100,None,4233,31.4
2017-10-10 23:29:11,Discharging,Good,94,100,None,4162,33.1
2017-10-10 23:29:06,Discharging,Good,94,100,None,4163,33.2
2017-10-10 23:28:19,Discharging,Good,94,100,None,4163,33.2
2017-10-10 23:27:19,Discharging,Good,95,100,None,4167,33.1
2017-10-10 23:26:39,Discharging,Good,96,100,None,4158,32.7
2017-10-10 23:25:36,Discharging,Good,96,100,None,4176,32.3
2017-10-10 23:24:48,Discharging,Good,96,100,None,4176,32.0
2017-10-10 23:22:27,Discharging,Good,97,100,None,4191,31.3
2017-10-10 23:22:18,Discharging,Good,97,100,None,4185,31.2
2017-10-10 23:19:47,Discharging,Good,98,100,None,4166,29.7
2017-10-10 23:18:24,Discharging,Good,99,100,None,4212,28.9
2017-10-10 23:17:17,Discharging,Good,99,100,None,4224,28.2
2017-10-10 23:15:36,Discharging,Good,100,100,None,4210,27.0
2017-10-10 23:12:11,Discharging,Good,100,100,None,4358,23.7
2017-10-10 23:12:08,Charging,Good,100,100,AC,4358,23.7
2017-10-10 23:12:08,Charging,Good,100,100,AC,4359,23.7
2017-10-10 23:12:06,Charging,Good,100,100,AC,4358,23.7
2017-10-10 23:12:05,Charging,Good,100,100,AC,4359,23.7
2017-10-10 23:12:05,Charging,Good,100,100,AC,4358,23.7
2017-10-10 23:12:03,Charging,Good,100,100,AC,4359,23.7
2017-10-10 23:12:03,Charging,Good,100,100,AC,4358,23.7
2017-10-10 23:11:58,Charging,Good,100,100,AC,4358,23.6
2017-10-10 23:11:56,Charging,Good,100,100,AC,4359,23.6
2017-10-10 23:11:55,Charging,Good,100,100,AC,4358,23.6
2017-10-10 23:11:53,Charging,Good,100,100,AC,4359,23.6
2017-10-10 23:11:39,Charging,Good,100,100,AC,4359,23.5
2017-10-10 23:11:29,Charging,Good,100,100,AC,4359,23.4
2017-10-10 23:11:27,Charging,Good,100,100,AC,4358,23.4
2017-10-10 23:11:24,Charging,Good,100,100,AC,4359,23.3
2017-10-10 23:11:21,Charging,Good,100,100,AC,4358,23.3
2017-10-10 23:11:19,Charging,Good,100,100,AC,4359,23.3
2017-10-10 23:11:17,Charging,Good,100,100,AC,4358,23.3
2017-10-10 23:11:06,Charging,Good,100,100,AC,4358,23.2
2017-10-10 23:11:03,Charging,Good,100,100,AC,4359,23.2
2017-10-10 23:10:54,Charging,Good,100,100,AC,4358,23.1
2017-10-10 23:10:52,Charging,Good,100,100,AC,4357,23.1
2017-10-10 23:10:23,Charging,Good,100,100,AC,4358,23.1
2017-10-10 23:09:42,Charging,Good,100,100,AC,4358,23.2
2017-10-10 23:09:40,Charging,Good,100,100,AC,4357,23.2
2017-10-10 23:09:38,Charging,Good,100,100,AC,4358,23.2
2017-10-10 23:09:38,Charging,Good,100,100,AC,4357,23.2
2017-10-10 23:09:30,Charging,Good,100,100,AC,4358,23.2
2017-10-10 23:09:28,Charging,Good,100,100,AC,4357,23.2
2017-10-10 23:09:27,Charging,Good,100,100,AC,4358,23.2
2017-10-10 23:09:25,Charging,Good,100,100,AC,4357,23.2
2017-10-10 23:09:24,Charging,Good,100,100,AC,4358,23.2
2017-10-10 23:09:22,Charging,Good,100,100,AC,4357,23.2
2017-10-10 23:09:21,Charging,Good,100,100,AC,4358,23.2
2017-10-10 23:09:20,Charging,Good,100,100,AC,4357,23.2
2017-10-10 23:09:17,Charging,Good,100,100,AC,4358,23.2
2017-10-10 23:09:15,Charging,Good,100,100,AC,4357,23.2
2017-10-10 23:09:11,Charging,Good,100,100,AC,4358,23.2
2017-10-10 23:09:09,Charging,Good,100,100,AC,4357,23.2
2017-10-10 23:09:06,Charging,Good,100,100,AC,4358,23.2
2017-10-10 23:09:04,Charging,Good,100,100,AC,4357,23.2
2017-10-10 23:09:04,Charging,Good,100,100,AC,4358,23.2
2017-10-10 23:09:02,Charging,Good,100,100,AC,4357,23.2
2017-10-10 23:09:00,Charging,Good,100,100,AC,4358,23.2
2017-10-10 23:08:46,Charging,Good,100,100,AC,4357,23.2
2017-10-10 23:08:45,Charging,Good,100,100,AC,4358,23.2
2017-10-10 23:08:33,Charging,Good,100,100,AC,4357,23.2
2017-10-10 23:08:33,Charging,Good,100,100,AC,4357,23.3
2017-10-10 23:08:31,Charging,Good,100,100,AC,4357,23.2
2017-10-10 23:08:30,Charging,Good,100,100,AC,4358,23.3
2017-10-10 23:08:28,Charging,Good,100,100,AC,4357,23.3
2017-10-10 23:08:27,Charging,Good,100,100,AC,4358,23.3
2017-10-10 23:08:08,Charging,Good,100,100,AC,4357,23.3
2017-10-10 23:07:50,Charging,Good,99,100,AC,4357,23.3
2017-10-10 23:07:49,Charging,Good,99,100,AC,4357,23.2
2017-10-10 23:07:40,Charging,Good,99,100,AC,4357,23.3
2017-10-10 23:07:39,Charging,Good,99,100,AC,4356,23.3
2017-10-10 23:07:39,Charging,Good,99,100,AC,4357,23.3
2017-10-10 23:06:10,Charging,Good,98,100,AC,4357,23.3
2017-10-10 23:06:09,Charging,Good,98,100,AC,4356,23.3
2017-10-10 23:06:06,Charging,Good,98,100,AC,4357,23.3
2017-10-10 23:06:05,Charging,Good,98,100,AC,4356,23.4
2017-10-10 23:06:00,Charging,Good,98,100,AC,4357,23.4
2017-10-10 23:05:58,Charging,Good,98,100,AC,4356,23.4
2017-10-10 23:05:55,Charging,Good,98,100,AC,4357,23.4
2017-10-10 23:05:53,Charging,Good,98,100,AC,4356,23.4
2017-10-10 23:05:50,Charging,Good,98,100,AC,4357,23.4
2017-10-10 23:05:41,Charging,Good,98,100,AC,4356,23.4
2017-10-10 23:05:39,Charging,Good,98,100,AC,4357,23.4
2017-10-10 23:05:36,Charging,Good,98,100,AC,4356,23.4
2017-10-10 23:05:35,Charging,Good,98,100,AC,4357,23.4
2017-10-10 23:05:33,Charging,Good,98,100,AC,4356,23.4
2017-10-10 23:05:27,Charging,Good,98,100,AC,4357,23.4
2017-10-10 23:05:21,Charging,Good,98,100,AC,4356,23.4
2017-10-10 23:05:20,Charging,Good,98,100,AC,4357,23.4
2017-10-10 23:05:18,Charging,Good,98,100,AC,4356,23.4
2017-10-10 23:05:17,Charging,Good,98,100,AC,4357,23.4
2017-10-10 23:04:49,Charging,Good,98,100,AC,4356,23.4
2017-10-10 23:04:48,Charging,Good,98,100,AC,4356,23.5
2017-10-10 23:04:47,Charging,Good,98,100,AC,4356,23.4
2017-10-10 23:04:46,Charging,Good,98,100,AC,4356,23.5
2017-10-10 23:04:44,Charging,Good,98,100,AC,4356,23.4
2017-10-10 23:04:43,Charging,Good,98,100,AC,4356,23.5
2017-10-10 23:04:41,Charging,Good,98,100,AC,4356,23.4
2017-10-10 23:03:46,Charging,Good,98,100,AC,4356,23.5
2017-10-10 23:03:41,Charging,Good,97,100,AC,4356,23.5
2017-10-10 23:02:39,Charging,Good,97,100,AC,4356,23.6
2017-10-10 23:02:35,Charging,Good,97,100,AC,4355,23.6
2017-10-10 23:02:32,Charging,Good,97,100,AC,4356,23.6
2017-10-10 23:02:30,Charging,Good,97,100,AC,4355,23.6
2017-10-10 23:02:27,Charging,Good,97,100,AC,4356,23.6
2017-10-10 23:02:26,Charging,Good,97,100,AC,4355,23.6
2017-10-10 23:02:22,Charging,Good,97,100,AC,4356,23.6
2017-10-10 23:02:21,Charging,Good,97,100,AC,4355,23.6
2017-10-10 23:02:16,Charging,Good,97,100,AC,4356,23.6
2017-10-10 23:02:16,Charging,Good,97,100,AC,4355,23.6
2017-10-10 23:02:15,Charging,Good,97,100,AC,4356,23.6
2017-10-10 23:02:14,Charging,Good,97,100,AC,4355,23.6
2017-10-10 23:02:12,Charging,Good,97,100,AC,4355,23.7
2017-10-10 23:02:11,Charging,Good,97,100,AC,4356,23.7
2017-10-10 23:02:08,Charging,Good,97,100,AC,4355,23.7
2017-10-10 23:02:06,Charging,Good,97,100,AC,4356,23.7
2017-10-10 23:02:05,Charging,Good,97,100,AC,4355,23.7
2017-10-10 23:02:03,Charging,Good,97,100,AC,4356,23.7
2017-10-10 23:01:57,Charging,Good,97,100,AC,4355,23.7
2017-10-10 23:01:55,Charging,Good,97,100,AC,4356,23.7
2017-10-10 23:01:00,Charging,Good,97,100,AC,4355,23.7
2017-10-10 23:00:59,Charging,Good,97,100,AC,4355,23.6
2017-10-10 23:00:58,Charging,Good,97,100,AC,4355,23.7
2017-10-10 23:00:19,Charging,Good,97,100,AC,4355,23.6
2017-10-10 23:00:17,Charging,Good,97,100,AC,4354,23.6
2017-10-10 22:59:58,Charging,Good,97,100,AC,4355,23.6
2017-10-10 22:59:55,Charging,Good,97,100,AC,4355,23.5
2017-10-10 22:59:55,Charging,Good,97,100,AC,4354,23.5
2017-10-10 22:59:38,Charging,Good,97,100,AC,4355,23.5
2017-10-10 22:59:36,Charging,Good,97,100,AC,4354,23.5
2017-10-10 22:59:30,Charging,Good,97,100,AC,4355,23.5
2017-10-10 22:59:29,Charging,Good,97,100,AC,4354,23.5
2017-10-10 22:59:27,Charging,Good,97,100,AC,4355,23.5
2017-10-10 22:59:25,Charging,Good,97,100,AC,4354,23.5
2017-10-10 22:59:22,Charging,Good,97,100,AC,4355,23.5
2017-10-10 22:59:18,Charging,Good,97,100,AC,4354,23.5
2017-10-10 22:59:17,Charging,Good,97,100,AC,4355,23.5
2017-10-10 22:59:14,Charging,Good,97,100,AC,4354,23.5
2017-10-10 22:59:14,Charging,Good,97,100,AC,4355,23.5
2017-10-10 22:59:11,Charging,Good,97,100,AC,4354,23.5
2017-10-10 22:59:10,Charging,Good,97,100,AC,4355,23.5
2017-10-10 22:58:27,Charging,Good,97,100,AC,4354,23.5
2017-10-10 22:58:26,Charging,Good,97,100,AC,4355,23.5
2017-10-10 22:58:16,Charging,Good,97,100,AC,4354,23.5
2017-10-10 22:58:15,Charging,Good,97,100,AC,4354,23.6
2017-10-10 22:58:14,Charging,Good,97,100,AC,4354,23.5
2017-10-10 22:58:13,Charging,Good,97,100,AC,4354,23.6
2017-10-10 22:58:12,Charging,Good,97,100,AC,4354,23.5
2017-10-10 22:58:12,Charging,Good,97,100,AC,4354,23.6
2017-10-10 22:58:10,Charging,Good,97,100,AC,4354,23.5
2017-10-10 22:57:32,Charging,Good,97,100,AC,4354,23.6
2017-10-10 22:57:30,Charging,Good,97,100,AC,4353,23.6
2017-10-10 22:57:20,Charging,Good,97,100,AC,4354,23.6
2017-10-10 22:57:19,Charging,Good,97,100,AC,4353,23.6
2017-10-10 22:57:16,Charging,Good,97,100,AC,4354,23.6
2017-10-10 22:57:13,Charging,Good,96,100,AC,4353,23.6
2017-10-10 22:57:12,Charging,Good,96,100,AC,4354,23.6
2017-10-10 22:57:10,Charging,Good,96,100,AC,4353,23.6
2017-10-10 22:57:09,Charging,Good,96,100,AC,4354,23.6
2017-10-10 22:57:06,Charging,Good,96,100,AC,4353,23.6
2017-10-10 22:57:04,Charging,Good,96,100,AC,4354,23.6
2017-10-10 22:57:01,Charging,Good,96,100,AC,4353,23.6
2017-10-10 22:56:59,Charging,Good,96,100,AC,4353,23.7
2017-10-10 22:56:57,Charging,Good,96,100,AC,4354,23.7
2017-10-10 22:56:50,Charging,Good,96,100,AC,4353,23.7
2017-10-10 22:56:49,Charging,Good,96,100,AC,4354,23.7
2017-10-10 22:55:14,Charging,Good,96,100,AC,4353,23.7
2017-10-10 22:55:12,Charging,Good,96,100,AC,4352,23.7
2017-10-10 22:55:07,Charging,Good,96,100,AC,4353,23.7
2017-10-10 22:55:06,Charging,Good,96,100,AC,4352,23.7
2017-10-10 22:55:04,Charging,Good,96,100,AC,4353,23.7
2017-10-10 22:55:02,Charging,Good,96,100,AC,4352,23.7
2017-10-10 22:55:00,Charging,Good,96,100,AC,4353,23.7
2017-10-10 22:54:57,Charging,Good,96,100,AC,4352,23.7
2017-10-10 22:54:55,Charging,Good,96,100,AC,4353,23.7
2017-10-10 22:54:53,Charging,Good,96,100,AC,4352,23.8
2017-10-10 22:54:50,Charging,Good,96,100,AC,4352,23.7
2017-10-10 22:54:48,Charging,Good,96,100,AC,4353,23.7
2017-10-10 22:53:52,Charging,Good,96,100,AC,4352,23.8
2017-10-10 22:53:34,Charging,Good,96,100,AC,4352,23.9
2017-10-10 22:53:32,Charging,Good,96,100,AC,4351,23.9
2017-10-10 22:53:29,Charging,Good,96,100,AC,4352,23.9
2017-10-10 22:53:28,Charging,Good,96,100,AC,4351,23.9
2017-10-10 22:53:24,Charging,Good,96,100,AC,4352,23.9
2017-10-10 22:53:24,Charging,Good,96,100,AC,4351,23.9
2017-10-10 22:53:21,Charging,Good,96,100,AC,4352,23.9
2017-10-10 22:53:19,Charging,Good,96,100,AC,4351,23.9
2017-10-10 22:53:18,Charging,Good,96,100,AC,4352,23.9
2017-10-10 22:53:17,Charging,Good,96,100,AC,4351,23.9
2017-10-10 22:53:15,Charging,Good,96,100,AC,4352,23.9
2017-10-10 22:53:13,Charging,Good,96,100,AC,4351,23.9
2017-10-10 22:53:13,Charging,Good,96,100,AC,4352,23.9
2017-10-10 22:53:11,Charging,Good,96,100,AC,4351,23.9
2017-10-10 22:53:08,Charging,Good,96,100,AC,4352,23.9
2017-10-10 22:53:06,Charging,Good,96,100,AC,4351,23.9
2017-10-10 22:53:06,Charging,Good,96,100,AC,4352,23.9
2017-10-10 22:52:59,Charging,Good,96,100,AC,4351,23.9
2017-10-10 22:52:58,Charging,Good,96,100,AC,4352,23.9
2017-10-10 22:52:50,Charging,Good,96,100,AC,4351,23.9
2017-10-10 22:52:48,Charging,Good,96,100,AC,4352,23.9
2017-10-10 22:52:11,Charging,Good,96,100,AC,4351,23.9
2017-10-10 22:52:03,Charging,Good,95,100,AC,4351,23.9
2017-10-10 22:51:39,Charging,Good,95,100,AC,4351,24.0
2017-10-10 22:51:35,Charging,Good,95,100,AC,4350,24.0
2017-10-10 22:51:32,Charging,Good,95,100,AC,4351,24.0
2017-10-10 22:51:29,Charging,Good,95,100,AC,4350,24.0
2017-10-10 22:51:27,Charging,Good,95,100,AC,4351,24.0
2017-10-10 22:51:24,Charging,Good,95,100,AC,4350,24.0
2017-10-10 22:51:21,Charging,Good,95,100,AC,4351,24.0
2017-10-10 22:51:14,Charging,Good,95,100,AC,4350,24.0
2017-10-10 22:50:08,Charging,Good,95,100,AC,4350,24.1
2017-10-10 22:50:06,Charging,Good,95,100,AC,4349,24.1
2017-10-10 22:49:54,Charging,Good,95,100,AC,4350,24.2
2017-10-10 22:49:53,Charging,Good,95,100,AC,4349,24.2
2017-10-10 22:49:49,Charging,Good,95,100,AC,4350,24.2
2017-10-10 22:49:48,Charging,Good,95,100,AC,4349,24.2
