Datetime,Status,Health,Level,Scale,Plugged,Voltage,Temperature
2017-10-12 10:54:55,Discharging,Good,75,100,None,4071,31.2
2017-10-12 10:28:36,Discharging,Good,76,100,None,4083,31.2
2017-10-12 10:16:34,Discharging,Good,77,100,None,4088,31.2
2017-10-12 09:56:12,Discharging,Good,77,100,None,4085,31.2
2017-10-12 09:53:48,Discharging,Good,78,100,None,4085,31.2
2017-10-12 09:53:36,Discharging,Good,78,100,None,4088,31.2
2017-10-12 09:51:12,Discharging,Good,78,100,None,4091,31.1
2017-10-12 09:48:33,Discharging,Good,78,100,None,4092,31.0
2017-10-12 09:45:36,Discharging,Good,79,100,None,4093,30.7
2017-10-12 09:27:43,Discharging,Good,79,100,None,4090,28.2
2017-10-12 09:25:21,Discharging,Good,80,100,None,4085,28.2
2017-10-12 09:25:09,Discharging,Good,80,100,None,4071,28.0
2017-10-12 09:24:51,Discharging,Good,80,100,None,4035,27.9
2017-10-12 09:15:11,Discharging,Good,81,100,None,4101,29.9
2017-10-12 09:15:00,Discharging,Good,81,100,None,4102,29.9
2017-10-12 09:12:03,Discharging,Good,81,100,None,4104,29.2
2017-10-12 08:57:03,Discharging,Good,81,100,None,4091,24.6
2017-10-12 08:56:33,Discharging,Good,81,100,None,4103,25.0
2017-10-12 08:55:28,Discharging,Good,82,100,None,4087,25.6
2017-10-12 08:54:23,Discharging,Good,82,100,None,4097,26.8
2017-10-12 08:51:17,Discharging,Good,82,100,None,4082,29.4
2017-10-12 08:49:34,Discharging,Good,83,100,None,4084,31.3
2017-10-12 08:47:24,Discharging,Good,84,100,None,4102,31.0
2017-10-12 08:45:51,Discharging,Good,84,100,None,4100,30.7
2017-10-12 08:45:36,Discharging,Good,85,100,None,4110,30.6
2017-10-12 08:41:45,Discharging,Good,85,100,None,4085,29.8
2017-10-12 08:40:50,Discharging,Good,86,100,None,4111,29.8
2017-10-12 08:37:32,Discharging,Good,86,100,None,4128,29.2
2017-10-12 08:32:47,Discharging,Good,87,100,None,4134,28.6
2017-10-12 08:32:30,Discharging,Good,87,100,None,4103,28.5
2017-10-12 08:29:23,Discharging,Good,88,100,None,4108,27.2
